checked_at,keyword,device,status,screenshot
2026-05-08 12:04:18,쿠쿠가스렌지,PC,노출,screenshots/쿠쿠가스렌지_PC_exposed_20260508_030418.png
2026-05-08 12:04:22,쿠쿠인덕션,PC,노출,screenshots/쿠쿠인덕션_PC_exposed_20260508_030421.png
2026-05-08 12:04:24,쿠쿠인덕션3구,PC,노출,screenshots/쿠쿠인덕션3구_PC_exposed_20260508_030424.png
2026-05-08 12:04:32,쿠쿠,MO,노출,screenshots/쿠쿠_MO_exposed_20260508_030432.png
2026-05-08 12:04:35,쿠쿠몰,MO,노출,screenshots/쿠쿠몰_MO_exposed_20260508_030435.png
2026-05-08 12:04:39,쿠쿠에어프라이어,MO,노출,screenshots/쿠쿠에어프라이어_MO_exposed_20260508_030439.png
2026-05-08 12:04:41,쿠쿠에어프라이기,MO,노출,screenshots/쿠쿠에어프라이기_MO_exposed_20260508_030441.png
2026-05-08 12:04:44,쿠쿠식기세척기,MO,노출,screenshots/쿠쿠식기세척기_MO_exposed_20260508_030444.png
2026-05-08 12:04:46,쿠쿠식세기,MO,노출,screenshots/쿠쿠식세기_MO_exposed_20260508_030446.png
2026-05-08 12:04:49,쿠쿠음식물처리기,MO,노출,screenshots/쿠쿠음식물처리기_MO_exposed_20260508_030449.png
2026-05-08 12:04:52,쿠쿠에코웨일,MO,노출,screenshots/쿠쿠에코웨일_MO_exposed_20260508_030452.png
2026-05-08 12:04:55,넬로,MO,노출,screenshots/넬로_MO_exposed_20260508_030455.png
2026-05-08 12:04:57,넬로펫드라이룸,MO,노출,screenshots/넬로펫드라이룸_MO_exposed_20260508_030457.png
2026-05-08 12:04:59,쿠쿠멀티쿠커,MO,노출,screenshots/쿠쿠멀티쿠커_MO_exposed_20260508_030459.png
2026-05-08 12:05:01,쿠쿠스피드팟,MO,노출,screenshots/쿠쿠스피드팟_MO_exposed_20260508_030501.png
2026-05-08 12:05:04,쿠쿠믹서기,MO,노출,screenshots/쿠쿠믹서기_MO_exposed_20260508_030504.png
